userLocations5_clean
"Kingston, Jamaica"
"Lake Dallas, TX"
"Manila, Philippines"
"Indiana, USA"
"Atlanta, GA"
"Peel, New Brunswick"
Texas Strong
Owenton Ky.
In the mist and shadows
"Hamilton, Canada"
Coventry
"New York, NY"
"Minnesota, USA"
Srinagar
"Mill Valley, CA"
ArlingtonVA
"Atlanta, GA"
San Francisco
United States & Saudi Arabia
"Staten Island, NY"
 Okie in NY #VoteBernie #Jill
"Post Falls, ID"
Multiverse
San Francisco
Mount Sinai Health System
Living on airplanes
University Hospital Waterford
"500 West 120 St New York, NY"
"Whanganui, Aotearoa (NZ)"
"New York, NY"
"333 Delaware Ave, Delmar NY"
"New York, NY, USA"
New York
"Oklahoma City, OK"
"Edmond, Oklahoma"
"Houston, TX"
"Washington, USA"
"Los Angeles, CA"
New York City
Jeddah إتي كذا جدة وبحر
"Woonsocket, RI"
"Wake Forest, NC"
North Carolina
Northern Idaho
"Butler, PA"
"Potsdam, NY"
"Sydney, New South Wales"
"Plano, TX USA"
"Mobile, AL"
"Saudi Arabia , Switzerland"
"Vashon Island, WA"
"Boston, MA"
"Norwich, England"
"Tallahassee, FL"
"San Jose, CA"
"ÜT: 33.80684,-117.906921"
NJ
Belfast / London
Pleiades
"Nashville, TN"
"New York, New York"
"England, Oxford, ignant"
"Virginia, USA"
"Boston, MA"
"Boston, MA"
Just above Tasmania
"Downers Grove, IL"
Canberra
Orlando Florida
Santa Ana
Philadelphia
"McKinney, TX"
"Raleigh, NC"
"Katy, Tx"
Kerava Poland
"Cary, North Carolina"
"Virginia Water, England"
Chicago suburbs
AZ.
"Ottawa, Canada"
"Ile-de-France, France"
"St Petersburg, Fl"
"Wisconsin, USA"
Pennsylvania
California
Central Massachusetts
Great Britain
north east manchester
Guildford
Massachusetts
"Vancouver, BC"
Bucharest
"Pittsburgh, Pa."
"Nashville, TN"
"Florida, and NY, NY"
Sto.Dgo.Dominican Repúblic
"Washington, D.C."
"Irvine, CA"
"Cranbury, NJ"
"Carmel, CA"
"Pennsylvania, USA"
"Halifax, West Yorkshire. "
Hereford
"Palo Alto, CA"
"Crystal Lake, IL"
"New York, NY"
"Montana, USA"
"Ann Arbor, Michigan"
"whetstone, leicester. England"
"Bristol, England"
"North Olmsted, OH"
"Providence, RI"
"Bessemer, AL"
"Odessa, TX"
"Washington, D.C."
"Virginia, USA"
"Washington, DC"
"Honolulu, Hawaii"
"Roselle, IL"
"Orlando, FL"
"Minneapolis, MN"
Bay City MI
"Chippewa Falls, WI"
Northern California
"Hampton, VA"
Emerald Coast
"Yorktown, VA"
New Jersey
Torrance
University Health Service
"Auburn, Ala."
"Corrales, NM"
"Auburn, AL"
University of Connecticut
Oregon
"Smith Mountain Lake, VA"
Minding mines
"British Columbia, Canada"
Deerfield Beach Florida
"FL, AL, TN, CA & NY"
"Woodland Park, NJ"
"Oregon, USA"
Northern Ireland
"Florida, USA"
"St. Charles, MO"
"Nottingham, England"
"Leawood, KS"
"Herndon, VA"
Diego Garcia
"Hagerstown, MD"
"Cary, NC"
"Amsterdam, North Holland"
"Woburn, MA"
"Blacksburg, VA"
CO-MT-ND-SD-UT-WY
Eastern U.S.
"Anaheim, CA"
"Olathe, KS"
"Washington, D.C."
"Minnesota, Wayzata"
"Jupiter, FL"
"Cambridge, England"
"Washington, DC"
California
"Kennedy Township, PA 15136"
Nottinghamshire
"DFW, TX"
"Maryland, USA"
Georgia
"Michigan, USA"
"Hillcrest, San Diego"
"Santa Clara, CA"
NC ~ NY~ NJ
"Franklin, TN"
"Atlanta, GA"
University of Arizona
"Florida, USA"
"Washington, DC"
"Stamford, CT"
"Socorro, NM"
Not Russia
"Los Alamos, New Mexico"
Montana USA
"San Diego, CA"
Toronto
"Providence, RI"
"Arlington, VA"
"Washington, DC"
"Green Bay, WI"
National
"Bloomfield Hills, MI"
"Bexley, OH"
"Long Beach, CA"
"Brownsville, TX"
Polska / Poland
"Las Vegas, Nevada"
Amsterdam
"Irving, TX"
"Arlington, VA"
"Thorofare, NJ"
Indianapolis
"Honolulu, Hawaii"
"Manchester, UK"
"Maryland, USA"
"Silver Spring, Maryland"
"Dallas, TX"
"Zurich, Switzerland"
"Avadi, Sriperumbudur"
"Ventura County, CA"
"Austin, TX"
"Tennessee, USA"
"Trenton, NJ"
"Bethesda, Maryland"
"Conway, AR"
"Mobile, AL"
"Nassau Bay, TX"
Greenville SC
KGH
"Cameron County, TX"
"Syracuse, NY"
"Boston, MA"
Somewhere
"Hood Road, Barry, CF62 5QN"
"Columbus, OH"
between molecules of O2 & CO2
"Massachusetts, USA"
"Cranston, RI"
Los Angeles
"San Francisco, CA"
British Columbia
"New York, NY"
"Birmingham,MI"
"Manhattan, NY"
"Blue Mounds, WI"
DFW
Nevada
"Virginia, USA"
"Montross, VA"
"Bradford, England"
"Albuquerque, NM USA"
Boston
"Washington, D.C."
"Fairbury, NE"
Boston
"Belfast, Northern Ireland"
"Dedham, MA"
"110 William Street, Newark, NJ"
"Italy, Europe, Earth"
"Tampa Bay, FL"
"Wilmington, NC"
"Bronx, NY"
"Colorado, USA"
"Decatur, GA"
Washington
"Grand Rapids, MI"
"San Francisco, CA"
California
"Fairfax County, Virginia"
"Cheshire, UK"
Chicago
Wales
"Alexandria, VA"
Madras
"Nashville, TN"
"Merthyr, Bridgend & RCT"
"Richmond, CA"
St Helens Oregon
"Niles, MI"
"Beaver Dam, WI"
"Bakersfield, CA"
"Bradenton, FL"
"Centreville, Alabama"
"Bolivar, Missouri"
Delaware
"Alexandria, VA"
"Chicago, IL"
"Ojai, CA"
"Rochester, NY"
Swedish Sleep Medicine-Seattle
"Washington, DC"
"Billings, MT"
Killeen TX
Nação Rubro Negra
"Dallas, Texas"
"Wakefield, RI"
Dallas/Fort Worth Area
TRUMP NATION
"Los Angeles, CA"
Delaware
Netherlands
"Muncie, IN"
"North Tustin, CA"
London SE1
"Rockville, Maryland"
New York
"Boulder, CO"
"Orlando, Florida"
"Louisville, KY "
"San Antonio, TX"
Everywhere
"Fairfield County, CT"
Global
"Western, USA"
"Chicago, IL"
"Lawrence, KS"
"Bieberach, Germany"
"Tucson, AZ"
"Tucson, Arizona"
Wyoming
"Morgantown, WV"
"Dallas, TX USA"
"Huntington, WV"
Idaho
"Prudhoe, England"
"Fairfax, VA"
"Rhode Island, USA"
"401 Glenwood Avenue Raleigh, NC"
"Warren, OH"
Rhode Island
Memphis TN Area
"Ohio, USA"
"Brooklyn, NY"
"Texas, USA"
Los Angeles
"Killeen, TX"
USA - Spain - Sweden - UK
"Bronx, NY"
"Chapel Hill, NC"
"South Carolina, USA"
Santiago - Chile
Bangkok
Bolton
"Nairobi, Kenya"
"Scottsdale, AZ"
Harvard Professor & MD
"Bronx, NY"
SE25
"Charleston, WV"
New York
"New Jersey, USA"
NC
"Virginia, USA"
"Harrisonburg, VA"
Florida
"Fairfax County, Virginia"
"Irvine, CA"
"Knoxville, TN"
"Highland Village, TX"
Minneapolis & Chicago
"Highland Village, TX"
"Headquarters in Bethesda, MD"
New York City
Hawaii
"Queens,NY"
"Hamilton, Ontario"
"Wayne, NJ"
"Hamilton, Ontario"
"Tatamy, PA"
"Santa Barbara, CA"
"Doncaster, England"
New York City
"106 W 3rd St., Jamestown, NY"
"Barrie, ON"
"Mechanicsburg, PA"
"Houston, Texas"
"Prague, Czech Republic"
"Miami, Florida"
"Miami, FL"
"St. Louis, Mo. (HQ)"
"Michigan, USA"
"Cottingley, England"
Deutschland
"Bowling Green, OH"
"Houston, Texas"
"Haute-Savoie, Rhône-Alpes"
"Athens, Greece"
"Hagerstown, MD"
"Rochester, NY"
"Durham, NC"
"San Diego, CA"
"Green Bay, Wisconsin"
"New York, USA"
"Slough, Berkshire, England"
Berkshire
Berkshire
Serving Northeast Wisconsin
"Green Bay, WI"
Dorchester
"NYC - Paris, France"
"dallas, texas"
"College Station, TX"
Chicago
"North East, England"
"Guadalajara, Jalisco, México"
scotland
"Bremen, Germany"
Keswick
Washington DC
"Milan, Italy"
Western New York
"Cleveland, OH"
"Mississauga, Ontario"
"Georgetown, Guyana"
"Syracuse, NY"
"Syracuse, NY"
Atlanta
"Kansas, USA"
glasgow
"Clermont, FL"
"Zurgena, Spain"
Greater Manchester
"New York, NY"
"California, USA"
"Indiana, USA"
"Ohio, USA"
Atlanta
"Las Vegas, NV"
"Bandung, Jawa Barat"
Merseyside
beautiful Kingdom of Fife.
New York
"PPC, Palawan, Philippines"
Kuwait
"Cape Canaveral, FL"
"Colorado, USA"
Nowhereland (PH) (AU)
"Syracuse, NY"
España Costa Blanca.
Hungary
Rock hill Sc
"Paris, France"
"West Sussex, UK"
Ohio/Chicagoland area
Finland
"Washington, DC"
"East Meadow, New York"
"Southampton, England"
"Southern California, USA"
"Kampala,Uganda"
"Leeds, England"
viareggio
"62.392455,-145.1497989"
"South East, England"
Dorset
"Washington, DC"
"Somewhere, Ohio"
"Chippenham, England"
Seaford
Mumbai
Belfast
"Hove, England"
The World
"Redondo Beach, CA"
"Canberra, Australia"
New Delhi
"Ann Arbor, MI"
"Washington, DC"
Adelaide
"Boise, ID"
"mijas, spain"
"Arizona, USA"
Florida
Gurgaon
"Bloomington, IN"
"Stony Brook,  NY"
Philippines
"Asheville, NC"
Hint: Ninj is a Jersey Girl!
"Pullman, Wash."
"Birmingham, AL"
Proud American
San Diego
"Kewanee, IL"
"MN, USA"
"Fremont, CA"
"Fresno, CA "
"Bozeman, MT"
"Oregon, USA"
"Bolingbrook, IL"
Red State
"Nashua, NH"
"Denver, CO"
"Barrie, Ontario"
Uganda
Oklahoma City
NY
"Columbus, Ks"
"Northbrook, IL"
"Polk County, FL"
Los Angeles
"Philadelphia, PA"
Houston Texas
"Belize City, Belize C.A."
"103 E. Main St., Pinckney, MI, 48169"
"Jonesborough, TN"
New Hampshire
British Columbia
"Rest Haven, GA"
"Fairfax, VA"
"Caracas, Venezuela"
Virginia
"Woburn, MA"
Columbus
"St. Louis, MO"
"California, USA"
"Washington, DC"
"Wilmington, DE via Boston"
The Buckeye State
"Athens,Georgia"
"Guadalajara, Jalisco"
"Key West, FL"
"Philadelphia, PA"
San Antonio
"Fullerton, CA"
Cuttack
Austin
"Manila, Philippines"
Austin
"Brisbane, Australia"
"Houston, Texas"
"Omaha, NE"
"Blacksburg, VA"
San Diego
"Piscataway, NJ "
"California, USA"
"Spokane, WA "
"Florida, USA"
New York
Arkansas
New York
"Hudson Valley, NY"
 Jozi South Africa
"Ottawa, Canada"
CT
"Blacksburg, VA"
Cebu City
"Anamosa, IA"
"Applecross, Highlands"
"Virginia, USA"
Newcastle. UK.
"Chicago, IL"
California City
"Lenexa, KS"
"Radcliffe ,Greater Manchester."
"Chicago, IL"
"Miami, FL"
"Minneapolis, MN"
Argentina
"Frederick, MD"
WNY
"Beaufort, SC"
"Norfolk, NY"
"Aurora, IL"
"Columbus, OH"
"Riverside, CA"
"Michigan, USA"
"New Jersey, USA"
"Manhattan, NY"
"Norwich, England"
"Seattle, WA"
"Berkeley, CA"
"Richmond, CA"
"Basel, Switzerland"
Michigan
EU / Merica / #TrustTrump
"Boston, MA"
"Houston, TX & Los Angeles, CA"
West and Central Florida
"Nevada, MO"
"Maryland, USA"
Western NY
"New York, USA"
Cambridge
"Atlanta, GA"
"St Louis, MO"
"São Luís, Brazil"
Shawnee OK
"Vienna, VA"
Madison
Twilightzone
"Santiago, Metropolitana de San"
"Pearl River, NY"
North Pole
"Charlotte, NC"
"Elmwood Park, IL"
"Pittsburgh (Mt. Lebanon), PA"
"In a book, gardens or tube"
"Oblong, Il."
"Washington, DC"
"Philadelphia, PA"
"Kinross, Scotland"
"Ottawa, Canada"
"Kansas City, MO"
Northwest Amexem
"Houston, TX"
MN
"San Francisco, CA"
"Newent, Gloucestershire"
"New York, NY"
vb - la
"New England, USA"
"Texas, USA"
"Phoenix, AZ"
"Eatonton, GA"
Paraguay
MN
"Amsterdam, The Netherlands"
Connecticut
Wolters Kluwer Health
"York, PA"
"Fort Worth, TX"
Cheshire
"Fredericksburg, VA"
New York
"Chapel Hill, North Carolina"
Ames.DSM.Marshalltown
"Brockton, MA"
"Chicago, IL"
"Maryland, USA"
Dallas/ Fort-Worth
"Madison, WI"
Puerto Rico
"Phoenix, AZ"
North Carolina
"Building 5, 22 Magnolia Drive, Brookwater, Qld, Australia, 4300"
"Princeton, N.J."
"Atlanta, GA"
"Austin, TX"
"Dorchester, MA"
"Tucker, GA"
Philadelphia metro area
"North Carolina, USA"
Kentucky
"Cape Cod, MA"
PSL. FL
Holofractalgraphic #Multiverse
SC
"Pflugerville, TX"
"Texas, USA"
"Dallas, tx"
"Dallas Based, Worldwide"
"Chicago, IL"
Texas Duh
Sw5 earls court london
"Sacramento, CA"
"Lowell,MA"
Baltimore / DC Metro
"Fresno, CA"
Santa Rosa Ca.
"Boston, MA"
"Maywood, Ill."
"Phoenix, AZ"
"Bad Wildbad, Deutschland"
"Lincolnshire, UK"
"Rhode Island, USA"
"Onawa, Iowa"
Puerto Ordaz
"Columbus, OH/ Central OH"
"Milwaukee, WI"
"Washington, DC"
"Philadelphia, PA"
Pacific States of America
"Washington, DC"
"Buffalo, NY"
"North Carolina, USA "
"Seattle, WA"
"Scarsdale, New York"
"Worcester, MA, USA"
"New York, USA"
"Ft. Lauderdale, FL"
Indiana
"Staten Island, NY"
"Ottawa, Ontario Canada"
"Iowa, USA"
"San Francisco Bay Area, CA"
San Diego
"Chambersburg, PA"
"Grafton, New York "
"Columbus, OH"
"Marin County, CA"
"Ahmadabad City, India"
"Beeston, England"
Salt Lake City Utah
"Columbia, Missouri"
"Matthews, NC"
"Jensen Beach, FL"
"Playa Vista, Los Angeles"
Warrington
"Parsippany, NJ"
"Louisville, KY"
"Bogotá, D.C., Colombia"
2440 N Josey Ln. Ste 102
"Twin Falls, ID"
"Twin Falls, ID"
"Ames, IA"
"Kingston, RI"
"The Woodlands, TX 77380"
"220 Essie Davison, Clarinda IA"
"Flower Mound, TX"
"Knoxville, TN"
West Wales
"Twin Cities, MN"
"Saskatchewan, Canada"
Massachusetts
"Salina, KS"
"Massachusetts, USA"
"Harrisonburg, VA"
"New Mexico, USA"
"Tempe, AZ"
Las Vegas
"Newtown, CT"
"Boston, MA"
"Grand Rapids, MI"
"Mesa, AZ"
"Tampa, Florida"
"Scottsdale,Az"
"Houston, Texas"
"Ravenna, Ohio"
Minnesota
"Cincinnati, Ohio "
"Columbia, South Carolina"
"Centreville, VA"
"Austin, Texas"
"DuPage/Will County, IL"
"Lansing, Michigan"
Washington D.C.
"Staten Island, NY"
"Miami, FL"
"Columbus, OH"
"Columbus, Ohio"
"Boston, MA"
"Tampa, Florida"
"Hudson Valley, NY"
"New York, NY"
"Henderson, Nevada"
"Killeen, TX"
"Fort Worth, TX"
"Fort Worth, TX, US, 76104"
"Pennsylvania, USA"
"55 Fruit Street, Boston, Ma"
"Columbia University Medical Center, New York"
"Guilden Morden, England"
Colorado
"Boston, MA"
"Orange, CA"
Minneapolis
"Guilford, Maine"
"Blacksburg, VA"
"Zurich, Switzerland"
"San Francisco, CA"
"Temple, TX"
"Atlanta, GA"
"Los Angeles , CA"
"New York, NY"
"Miami Beach, FL"
"Milford, CT, USA"
east coast
"Hagerstown, MD"
Indianapolis
"California, USA"
"Massachusetts, USA"
Orlando
Nairobi
"Liberty, Missouri"
"Boston, MA"
Maine
Lincoln Nebraska
Rutgers and UCSD/SDSC
"Washington, DC"
"Houston, TX"
"Hampton, VA"
"Knoxville, TN"
"Charlottesville, VA"
"Caracas, Venezuela"
NYC
"Napa Valley, CA"
"Vineland, NJ"
"Richmond, VA"
"Phoenix, AZ"
Shelby County Alabama
"Boston, MA"
"Phoenix, Arizona"
"Boston, MA"
Missouri
"Okanogan, WA"
"New York, NY"
"Westwood, Los Angeles"
"Boston, MA"
"Columbia, SC"
"Boston, MA"
Italy
"Pittsburgh, PA"
West London
"East Brunswick, NJ"
Oklahoma City
"Ann Arbor, MI"
"Linwood, NJ & Turnersville, NJ"
"Ann Arbor, MI"
Indiana
Central Texas
"Kingston, Rhode Island"
"NY, NY"
San Diego
New York City
"Chandler, AZ"
"Orange County, CA"
"Texas, USA"
"Chicago, IL"
"Seattle, WA"
"Fayetteville, NC"
"Kansas, USA"
"Staten Island, NY"
"New Orleans, LA"
"New York, NY"
San Antonio Tx
"Chicago,Illinois"
"Dublin, OH"
"Washington, DC"
"New York, USA"
"Near Atlanta, GA"
"Springfield, Illinois"
"Butte County, California"
"Durham, NC"
"Virginia, USA"
"Chapel Hill, NC"
"Toledo, OH."
"New York, NY"
"Florida, USA"
"Texas, USA"
"Austin, TX"
"Wood Dale, IL"
"Bowling Green, OH"
"Oakland County, Michigan"
"Saratoga Springs, NY"
"New York, NY"
"Alexandria, VA"
"Philadelphia, PA"
"New York, NY"
"Staten Island, NY"
Spencer NC
"Miami, FL"
New York State
Boston
"Colchester, CT"
"Durham, NC"
California
"Miami, FL"
New York Metro Area
New Jersey
"Brooksville, FL"
"44237 Michigan Ave, Canton, MI"
UK & Ireland
"San Diego, CA"
"CLEVELAND, AKRON, DC, Freedom "
"Hounslow, London"
"Florida, USA"
Chicago
 Northern Kentucky
"Tampa Bay, FL"
"Florida, USA"
"Pasadena, CA"
"Sarasota, FL"
Suffolk
"Oregon, USA"
The Netherlands
"St George, UT"
"OFallon, MO"
"Georgia, USA"
"Miami, FL"
